netid,cruise_ymd,ctdcruise,cast_count,nline,nstation,stline,ststa,acline,acsta,rptline,rptsta,ctdlat,ctdlon,nlat,nlon,bottomdepth,date,time,nettime
11538,195810,195810,10028,120,60,120,60,119.8,60.2,120,60,27.241666,-116.55,27.245,-116.546666,,1958-10-11,11:24:00,1958-10-11 10:46:00+00
11736,195810,195810,10202,83.3,51,83.3,51,83.4,51,83.3,51,33.866666,-120.125,33.866666,-120.125,146,1958-10-25,22:12:00,1958-10-25 22:28:00+00
11668,195810,,,106.7,55,,,,,,,,,29.733333,-117.575,,,,1958-10-16 08:26:00+00
11625,195810,195810,10093,73.3,65,73,65,73.8,65.5,73.3,65,35.041666,-122.283333,35.038333,-122.283333,3977,1958-10-15,03:18:00,1958-10-15 04:06:00+00
11599,195810,195810,10075,150,60,150,60,150,59.7,150,60,22.033333,-113.216666,22.033333,-113.216666,3475,1958-10-23,15:48:00,1958-10-23 15:11:00+00
11623,195810,195810,10090,140,60,140,60,140.4,62.3,140,60,23.616666,-114.416666,23.616666,-114.416666,3658,1958-10-28,13:18:00,1958-10-28 12:46:00+00
11673,195810,195810,10151,103.3,32,103,32,103.5,32.5,103.3,32,31,-116.558333,31,-116.558333,347,1958-10-17,05:24:00,1958-10-17 05:41:00+00
11773,195810,195810,10233,60,90,60,90,59.8,90.3,60,90,36.641666,-125.816666,36.64,-125.813333,4389,1958-11-03,14:48:00,1958-11-03 15:26:00+00
11722,195810,195810,10190,90,90,90,90,90.1,89.9,90,90,31.4,-121.966666,31.4,-121.966666,4938,1958-10-22,17:18:00,1958-10-22 17:54:00+00
11714,195810,195810,10181,90,28,90,28,90,28.1,90,28,33.475,-117.775,33.475,-117.778333,732,1958-10-21,05:12:00,1958-10-21 05:31:00+00
11674,195810,195810,10152,103.3,35,103,35,103.5,35.6,103.3,35,30.891666,-116.758333,30.891666,-116.758333,1701,1958-10-17,08:00:00,1958-10-17 08:21:00+00
11769,195810,195810,10229,60,55,60,55,59.9,55,60,55,37.791666,-123.25,37.791666,-123.25,62,1958-11-01,13:24:00,1958-11-01 13:38:00+00
11728,195810,195810,10195,86.7,55,86.7,55,86.6,55.5,86.7,55,33.15,-120.05,33.15,-120.05,1280,1958-10-23,21:18:00,1958-10-23 21:36:00+00
11698,195810,,,96.7,55,,,,,,,,,31.433333,-118.866666,,,,1958-10-18 00:26:00+00
11662,195810,195810,10141,110,80,110,80,110.6,79.9,110,80,28.191666,-118.883333,28.191666,-118.883333,3749,1958-10-14,19:54:00,1958-10-14 20:41:00+00
11613,195810,195810,10084,153.3,40,153,40,153.3,39.6,153.3,40,22.133333,-111.616666,22.133333,-111.62,2926,1958-10-26,05:30:00,1958-10-26 05:01:00+00
11564,195810,195810,10049,133.3,25,133,25,133.4,24.9,133.3,25,26.075,-112.8,26.075,-112.8,80,1958-10-18,00:00:00,1958-10-17 23:48:00+00
11591,195810,195810,10070,146.7,25,146.7,25,146.7,24.6,146.7,25,23.775,-111.375,23.775,-111.375,329,1958-10-22,12:18:00,1958-10-22 11:51:00+00
11615,195810,195810,10085,153.3,50,153,50,153.3,49.7,153.3,50,21.791666,-112.241666,21.791666,-112.241666,3658,1958-10-26,11:42:00,1958-10-26 11:16:00+00
11703,195810,195810,10173,93.3,90,93.3,90,93.4,90,93.3,90,30.833333,-121.583333,30.833333,-121.583333,4111,1958-10-19,01:06:00,1958-10-19 02:01:00+00
11653,195810,195810,10134,113.3,30,113,30,113.1,31,113.3,30,29.391666,-115.391666,29.395,-115.39,73,1958-10-13,06:54:00,1958-10-13 06:58:00+00
11586,195810,195810,10065,143.3,40,143,40,143.4,39.7,143.3,40,23.85,-112.675,23.85,-112.675,2926,1958-10-21,08:30:00,1958-10-21 08:06:00+00
11554,195810,,,126.7,55,,,,,,,,,26.225,-115.453333,,,,1958-10-15 16:21:00+00
11700,195810,195810,10170,96.7,70,96.7,70,96.4,68.6,96.7,70,31.025,-119.791666,31.025,-119.791666,3566,1958-10-18,09:36:00,1958-10-18 10:06:00+00
11686,195810,,,100,55,,,,,,,,,30.866666,-118.491666,,,,1958-10-20 01:11:00+00
11636,195810,195810,10122,116.7,40,116.7,40,116.6,40.1,116.7,40,28.475,-115.6,28.471666,-115.6,988,1958-10-09,23:42:00,1958-10-10 00:16:00+00
11618,195810,195810,10087,153.3,70,153,70,153.4,69.7,153.3,70,21.116666,-113.466666,21.116666,-113.468333,,1958-10-26,23:36:00,1958-10-26 23:01:00+00
11532,195810,195810,10023,120,30,120,30,120,30,120,30,28.216666,-114.566666,28.216666,-114.566666,93,1958-10-10,14:42:00,1958-10-10 14:23:00+00
11822,195811,195811,10267,86.7,40,86.7,40,86.6,40,86.7,40,33.666666,-118.983333,33.666666,-118.98,823,1958-11-23,19:30:00,1958-11-23 19:26:00+00
11794,195811,195811,10246,93.3,30,93.3,30,93.5,30,93.3,30,32.816666,-117.508333,32.82,-117.511666,878,1958-11-17,22:06:00,1958-11-17 22:31:00+00
11802,195811,195811,10253,90,70,90,70,91.1,69.8,90,70,31.893333,-120.491666,31.893333,-120.988333,3886,1958-11-19,19:48:00,1958-11-19 20:21:00+00
11797,195811,195811,10244,93.3,50,93.3,50,93.3,50.8,93.3,50,32.15,-118.945,32.151666,-118.945,1536,1958-11-17,12:30:00,1958-11-18 13:06:00+00
11814,195811,195811,10262,80,51,80,51,80,51.1,80,51,34.441666,-120.525,34.445,-120.525,79,1958-11-22,02:24:00,1958-11-22 02:35:00+00
11816,195811,195811,10264,80,60,80,60,80,60,80,60,34.15,-121.15,34.146666,-121.15,2149,1958-11-22,08:48:00,1958-11-22 09:26:00+00
11787,195811,195811,10243,96.7,60,96.7,60,96.7,59,96.7,60,31.283333,-119.1,31.283333,-119.1,3475,1958-11-14,10:36:00,1958-11-14 11:16:00+00
11781,195811,,,100,29,,,,,,,,,31.703333,-116.738333,,,,1958-11-13 08:36:00+00
11790,195811,,,96.7,35,,,,,,,,,32.103333,-117.48,,,,1958-11-15 00:41:00+00
11803,195811,195811,10254,90,60,90,60,90,59.8,90,60,32.425,-119.95,32.421666,-119.95,1006,1958-11-20,02:36:00,1958-11-20 03:36:00+00
11818,195811,,,83.3,51,,,,,,,,,33.866666,-120.125,,,,1958-11-22 22:17:00+00
11800,195811,195811,10251,93.3,80,93.3,80,93.8,79.8,93.3,80,31.1,-120.85,31.096666,-120.85,3658,1958-11-19,07:06:00,1958-11-19 07:21:00+00
11795,195811,195811,10247,93.3,35,93.3,35,93.4,35,93.3,35,32.658333,-117.858333,32.658333,-117.861666,713,1958-11-18,02:06:00,1958-11-18 02:26:00+00
11812,195811,195811,10261,83.3,43,83.3,43,83.4,43,83.3,43,34.133333,-119.566666,34.133333,-119.568333,245,1958-11-21,18:42:00,1958-11-21 18:56:00+00
11788,195811,,,96.7,50,,,,,,,,,31.566666,-118.428333,,,,1958-11-14 16:16:00+00
11806,195811,195811,10257,90,45,90,45,90.4,45.6,90,45,32.825,-118.925,32.828333,-118.928333,1737,1958-11-20,13:54:00,1958-11-20 14:36:00+00
11815,195811,195811,10263,80,55,80,55,80,55.1,80,55,34.316666,-120.808333,34.313333,-120.808333,732,1958-11-22,05:12:00,1958-11-22 05:21:00+00
11792,195811,,,96.7,30,,,,,,,,,32.258333,-117.146666,,,,1958-11-15 04:11:00+00
11804,195811,195811,10255,90,55,90,55,90,55,90,55,32.575,-119.616666,32.578333,-119.616666,914,1958-11-20,07:30:00,1958-11-20 07:31:00+00
11808,195811,195811,10259,90,30,90,30,90,30.2,90,30,33.408333,-117.916666,33.408333,-117.916666,640,1958-11-21,01:18:00,1958-11-21 02:31:00+00
11786,195811,195811,10242,100,60,100,60,100.1,59.1,100,60,30.7,-118.725,30.703333,-118.728333,,1958-11-14,04:18:00,1958-11-14 04:45:00+00
11791,195811,195811,10241,96.7,32,96.7,32,96.7,31.7,96.7,32,32.2,-117.266666,32.196666,-117.27,1463,1958-11-13,02:24:00,1958-11-15 02:41:00+00
11783,195811,,,100,35,,,,,,,,,31.526666,-117.091666,,,,1958-11-13 13:06:00+00
11807,195811,195811,10258,90,37,90,37,90,37.2,90,37,33.183333,-118.4,33.186666,-118.396666,1183,1958-11-20,20:18:00,1958-11-20 21:16:00+00
11809,195811,195811,10260,90,28,90,28,90,28.2,90,28,33.475,-117.783333,33.471666,-117.783333,384,1958-11-21,03:18:00,1958-11-21 03:31:00+00
11784,195811,,,100,40,,,,,,,,,31.37,-117.388333,,,,1958-11-13 16:46:00+00
11819,195811,195811,10266,86.7,60,86.7,60,86.6,60,86.7,60,33,-120.358333,33,-120.358333,969,1958-11-23,05:12:00,1958-11-23 06:31:00+00
11811,195811,,,83.3,40,,,,,,,,,34.226666,-119.363333,,,,1958-11-21 16:35:00+00
11813,195811,,,82,47,,,,,,,,,34.245,-119.975,,,,1958-11-21 22:06:00+00
11796,195811,195811,10248,93.3,40,93.3,40,93.4,40,93.3,40,32.5,-118.208333,32.5,-118.208333,1646,1958-11-18,06:00:00,1958-11-18 06:16:00+00
11789,195811,,,96.7,40,,,,,,,,,31.9,-117.81,,,,1958-11-14 21:34:00+00
11793,195811,195811,10245,93.3,27,93.3,27,93.4,27.5,93.3,27,32.908333,-117.35,32.908333,-117.353333,549,1958-11-17,19:48:00,1958-11-17 20:03:00+00
11817,195811,195811,10265,83.3,60,83.3,60,83.4,60,83.3,60,33.566666,-120.75,33.566666,-120.75,1518,1958-11-22,14:48:00,1958-11-22 15:11:00+00
11785,195811,,,100,50,,,,,,,,,31.02,-118.101666,,,,1958-11-13 22:36:00+00
11799,195811,195811,10250,93.3,70,93.3,70,93.4,69.7,93.3,70,31.508333,-120.216666,31.511666,-120.22,3658,1958-11-19,00:42:00,1958-11-19 01:16:00+00
11821,195811,,,86.7,45,,,,,,,,,33.496666,-119.305,,,,1958-11-23 16:11:00+00
11820,195811,,,86.7,50,,,,,,,,,33.336666,-119.658333,,,,1958-11-23 13:23:00+00
11810,195811,,,86.7,35,,,,,,,,,33.845,-118.613333,,,,1958-11-21 10:11:00+00
11801,195811,195811,10252,90,80,90,80,91,79.4,90,80,31.591666,-121.15,31.593333,-121.15,4206,1958-11-19,13:30:00,1958-11-19 13:56:00+00
11805,195811,195811,10256,90,50,90,50,90.2,50.1,90,50,32.716666,-119.266666,32.72,-119.263333,110,1958-11-20,10:24:00,1958-11-20 10:37:00+00
11782,195811,,,100,30,,,,,,,,,31.691666,-116.778333,,,,1958-11-13 09:36:00+00
11798,195811,195811,10249,93.3,60,93.3,60,93.3,60,93.3,60,31.841666,-119.566666,31.84,-119.563333,2232,1958-11-18,18:36:00,1958-11-18 18:56:00+00
11823,195812,,,100,29,,,,,,,,,31.696666,-116.73,,,,1958-12-02 05:46:00+00
11859,195812,,,83.3,43,,,,,,,,,34.12,-119.586666,,,,1958-12-09 01:51:00+00
11827,195812,195812,10269,100,50,100,50,100.4,51.6,100,50,30.9,-118.183333,30.903333,-118.183333,1737,1958-12-02,18:00:00,1958-12-02 18:36:00+00
11853,195812,,,86.7,50,,,,,,,,,33.34,-119.666666,,,,1958-12-08 03:12:00+00
11864,195812,195812,10292,80,60,80,60,80.3,60.2,80,60,34.1,-121.133333,34.096666,-121.133333,2286,1958-12-09,18:42:00,1958-12-09 19:16:00+00
11833,195812,195812,10268,96.7,32,96.7,32,96.8,31.9,96.7,32,32.183333,-117.266666,32.18,-117.266666,1280,1958-12-02,00:24:00,1958-12-03 20:11:00+00
11850,195812,,,86.7,35,,,,,,,,,33.833333,-118.616666,,,,1958-12-07 18:51:00+00
11825,195812,,,100,35,,,,,,,,,31.483333,-117.125,,,,1958-12-02 09:46:00+00
11846,195812,195812,10283,90,55,90,55,90.4,54.2,90,55,32.541666,-119.516666,32.541666,-119.516666,549,1958-12-07,02:12:00,1958-12-07 02:30:00+00
11835,195812,195812,10272,93.3,27,93.3,27,93.4,27.7,93.3,27,32.908333,-117.366666,32.908333,-117.366666,549,1958-12-04,20:54:00,1958-12-04 21:13:00+00
11830,195812,,,96.7,50,,,,,,,,,31.616666,-118.533333,,,,1958-12-03 10:11:00+00
11845,195812,195812,10282,90,60,90,60,90.2,59.7,90,60,32.391666,-119.916666,32.391666,-119.913333,823,1958-12-06,22:42:00,1958-12-06 23:11:00+00
11862,195812,195812,10290,80,51,80,51,80,51.1,80,51,34.441666,-120.525,34.443333,-120.526666,130,1958-12-09,11:42:00,1958-12-09 11:47:00+00
11844,195812,195812,10281,90,70,90,70,90.2,69.3,90,70,32.066666,-120.558333,32.066666,-120.558333,3658,1958-12-06,17:42:00,1958-12-06 18:06:00+00
11854,195812,,,86.7,55,,,,,,,,,33.153333,-120.003333,,,,1958-12-08 05:41:00+00
11860,195812,,,83.3,40,,,,,,,,,34.2,-119.358333,,,,1958-12-09 03:54:00+00
11837,195812,195812,10274,93.3,35,93.3,35,93.4,35,93.3,35,32.658333,-117.858333,32.661666,-117.858333,549,1958-12-05,02:24:00,1958-12-05 02:51:00+00
11861,195812,,,82,47,,,,,,,,,34.241666,-119.963333,,,,1958-12-09 07:41:00+00
11832,195812,,,96.7,35,,,,,,,,,32.083333,-117.458333,,,,1958-12-03 18:16:00+00
11847,195812,195812,10284,90,50,90,50,90.4,50,90,50,32.675,-119.225,32.675,-119.221666,198,1958-12-07,04:48:00,1958-12-07 04:58:00+00
11828,195812,195812,10270,100,60,100,60,100.1,59.5,100,60,30.691666,-118.75,30.691666,-118.75,2743,1958-12-02,22:48:00,1958-12-02 23:21:00+00
11865,195812,195812,10293,80,70,80,70,80.2,69.5,80,70,33.791666,-121.783333,33.788333,-121.78,3292,1958-12-10,00:36:00,1958-12-10 01:31:00+00
11841,195812,195812,10278,93.3,70,93.3,70,93.3,70.1,93.3,70,31.5,-120.25,31.5,-120.25,3658,1958-12-06,02:18:00,1958-12-06 01:16:00+00
11836,195812,195812,10273,93.3,30,93.3,30,93.4,29.9,93.3,30,32.833333,-117.516666,32.833333,-117.516666,823,1958-12-04,23:06:00,1958-12-04 23:31:00+00
11824,195812,,,100,30,,,,,,,,,31.68,-116.775,,,,1958-12-02 06:51:00+00
11852,195812,,,86.7,45,,,,,,,,,33.475,-119.333333,,,,1958-12-08 00:26:00+00
11843,195812,195812,10280,90,80,90,80,90.2,79.1,90,80,31.75,-121.233333,31.75,-121.233333,3658,1958-12-06,12:12:00,1958-12-06 12:34:00+00
11851,195812,195812,10287,86.7,40,86.7,40,86.8,39.8,86.7,40,33.65,-118.95,33.653333,-118.953333,475,1958-12-07,21:42:00,1958-12-07 21:56:00+00
11866,195812,195812,10294,80,80,80,80,80.2,79.8,80,80,33.458333,-122.5,33.458333,-122.503333,3658,1958-12-10,07:30:00,1958-12-10 07:56:00+00
11855,195812,195812,10288,86.7,60,86.7,60,86.6,60,86.7,60,33,-120.358333,33,-120.358333,732,1958-12-08,08:54:00,1958-12-08 09:26:00+00
11826,195812,,,100,40,,,,,,,,,31.3,-117.475,,,,1958-12-02 12:36:00+00
11839,195812,195812,10276,93.3,50,93.3,50,93.6,49.9,93.3,50,32.133333,-118.858333,32.136666,-118.858333,1280,1958-12-05,12:00:00,1958-12-05 13:40:00+00
11840,195812,195812,10277,93.3,60,93.3,60,93.7,60.1,93.3,60,31.766666,-119.525,31.763333,-119.525,1829,1958-12-05,18:48:00,1958-12-05 19:26:00+00
11858,195812,,,83.3,51,,,,,,,,,33.863333,-120.125,,,,1958-12-08 21:07:00+00
11863,195812,195812,10291,80,55,80,55,80.1,55.2,80,55,34.283333,-120.8,34.286666,-120.8,757,1958-12-09,14:36:00,1958-12-09 15:10:00+00
11834,195812,,,96.7,30,,,,,,,,,32.236666,-117.133333,,,,1958-12-03 21:38:00+00
11842,195812,195812,10279,93.3,80,93.3,80,93.4,79.6,93.3,80,31.175,-120.883333,31.175,-120.883333,3292,1958-12-06,06:24:00,1958-12-06 06:46:00+00
11867,195812,195812,10296,90,28,90,28,90,28.1,90,28,33.475,-117.775,33.473333,-117.778333,439,1958-12-11,12:18:00,1958-12-11 12:31:00+00
11856,195812,195812,10289,83.3,60,83.3,60,83.4,60.3,83.3,60,33.558333,-120.766666,33.556666,-120.765,1280,1958-12-08,15:06:00,1958-12-08 15:36:00+00
11848,195812,195812,10285,90,45,90,45,90.4,45,90,45,32.858333,-118.891666,32.858333,-118.891666,640,1958-12-07,07:54:00,1958-12-07 08:16:00+00
11857,195812,,,83.3,55,,,,,,,,,33.733333,-120.408333,,,,1958-12-08 18:36:00+00
11829,195812,195812,10271,96.7,60,96.7,60,96.7,59.5,96.7,60,31.275,-119.141666,31.275,-119.141666,1829,1958-12-03,05:06:00,1958-12-03 05:25:00+00
11831,195812,,,96.7,40,,,,,,,,,32,-117.853333,,,,1958-12-03 15:41:00+00
11838,195812,195812,10275,93.3,40,93.3,40,93.5,40,93.3,40,32.483333,-118.191666,32.485,-118.191666,1463,1958-12-05,05:54:00,1958-12-05 06:39:00+00
11849,195812,195812,10286,90,37,90,37,90.1,37.6,90,37,33.15,-118.416666,33.153333,-118.416666,1097,1958-12-07,12:42:00,1958-12-07 13:46:00+00
11886,195901,,,70,55,,,,,,,,,36.05,-122.033333,,,,1959-01-21 18:01:00+00
11919,195901,195901,10338,90,37,90,37,90,37.1,90,37,33.175,-118.391666,33.175,-118.391666,1189,1959-01-27,16:24:00,1959-01-27 16:46:00+00
11871,195901,195901,10298,66.7,70,66.7,70,66.6,70.1,66.7,70,36.133333,-123.5,36.13,-123.5,3475,1959-01-16,11:06:00,1959-01-16 12:00:00+00
11954,195901,,,103.3,45,,,,,,,,,30.516666,-117.35,,,,1959-01-12 06:06:00+00
11971,195901,195901,10397,96.7,32,96.7,32,96.5,31,96.7,32,32.258333,-117.241666,32.191666,-117.275,988,1959-01-07,03:54:00,1959-01-15 17:11:00+00
12078,195901,195901,10469,143.3,26,143,26,143.4,25.7,143.3,26,24.316666,-111.8,24.316666,-111.8,79,1959-01-21,12:24:00,1959-01-21 12:28:00+00
12033,195901,,,126.7,45,,,,,,,,,26.533333,-114.85,,,,1959-01-15 12:21:00+00
11944,195901,195901,10358,106.7,60,106.7,60,106.4,61.4,106.7,60,29.533333,-118.15,29.533333,-118.15,3292,1959-01-10,16:42:00,1959-01-10 17:11:00+00
11933,195901,195901,10349,110,40,110,40,110.1,40.6,110,40,29.575,-116.35,29.575,-116.35,2012,1959-01-08,02:48:00,1959-01-08 03:26:00+00
11971,195901,195901,10382,96.7,32,96.7,32,96.7,31.9,96.7,32,32.191666,-117.275,32.191666,-117.275,1280,1959-01-15,16:42:00,1959-01-15 17:11:00+00
11971,195901,195901,10381,96.7,32,96.7,32,96.7,31.9,96.7,32,32.191666,-117.275,32.191666,-117.275,1280,1959-01-15,15:48:00,1959-01-15 17:11:00+00
11971,195901,195901,10380,96.7,32,96.7,32,96.7,31.9,96.7,32,32.191666,-117.275,32.191666,-117.275,1280,1959-01-15,15:00:00,1959-01-15 17:11:00+00
11971,195901,195901,10379,96.7,32,96.7,32,96.7,31.9,96.7,32,32.191666,-117.275,32.191666,-117.275,1280,1959-01-15,14:12:00,1959-01-15 17:11:00+00
11920,195901,195901,10342,90,32,90,32,90,32.1,90,32,33.341666,-118.05,33.333333,-118.05,823,1959-01-27,22:00:00,1959-01-27 22:11:00+00
12039,195901,,,130,55,,,,,,,,,25.7,-115.111666,,,,1959-01-16 16:16:00+00
11989,195901,,,93.3,35,,,,,,,,,32.691666,-117.791666,,,,1959-01-19 20:36:00+00
11904,195901,195901,10346,83.3,80,83.3,80,83.4,80.1,83.3,80,32.9,-122.125,32.908333,-122.125,3913,1959-01-30,00:48:00,1959-01-25 01:11:00+00
12014,195901,195901,10417,120,30,120,30,120.1,30.2,120,30,28.2,-114.575,28.2,-114.576666,91,1959-01-11,12:18:00,1959-01-11 12:28:00+00
11985,195901,,,93.3,55,,,,,,,,,32.016666,-119.216666,,,,1959-01-19 08:16:00+00
12115,195901,195901,10494,156.7,40,156.7,40,156.8,39.9,156.7,40,21.525,-111.275,21.525,-111.271666,3283,1959-01-26,13:42:00,1959-01-26 14:10:00+00
12064,195901,195901,10459,140,30,140,30,140.1,29.8,140,30,24.75,-112.4,24.75,-112.4,115,1959-01-19,21:48:00,1959-01-19 22:17:00+00
12015,195901,195901,10418,119,33,119,33,118.9,33.4,119,33,28.291666,-114.908333,28.295,-114.911666,119,1959-01-11,14:24:00,1959-01-11 14:37:00+00
12013,195901,195901,10416,120,25,120,25,120,25.3,120,25,28.375,-114.258333,28.378333,-114.258333,64,1959-01-11,10:06:00,1959-01-11 10:18:00+00
11966,195901,,,100,45,,,,,,,,,31.233333,-117.816666,,,,1959-01-14 19:56:00+00
11932,195901,195901,10348,110,35,110,35,110,35.1,110,35,29.775,-116,29.775,-116,1372,1959-01-07,23:06:00,1959-01-07 23:36:00+00
11896,195901,195901,10317,76.7,70,76.7,70,76.6,70.1,76.7,70,34.4,-122.266666,34.403333,-122.266666,3840,1959-01-23,09:54:00,1959-01-23 10:15:00+00
11891,195901,195901,10314,73.3,55,73,55,73.3,55.4,73.3,55,35.458333,-121.633333,35.458333,-121.625,988,1959-01-22,16:24:00,1959-01-22 16:46:00+00
11984,195901,195901,10392,93.3,60,93.3,60,93.3,59.7,93.3,60,31.85,-119.55,31.85,-119.55,3292,1959-01-19,05:06:00,1959-01-19 05:36:00+00
12002,195901,195901,10407,116.7,80,116.7,80,116.5,80.3,116.7,80,27.15,-118.225,27.15,-118.223333,3913,1959-01-09,16:30:00,1959-01-09 16:56:00+00
11973,195901,,,96.7,35,,,,,,,,,32.091666,-117.475,,,,1959-01-16 22:06:00+00
11951,195901,195901,10363,103.3,30,103,30,103.4,30.3,103.3,30,31.083333,-116.416666,31.085,-116.416666,73,1959-01-11,18:24:00,1959-01-11 18:28:00+00
11928,195901,,,86.7,80,,,,,,,,,32.383333,-121.5,,,,1959-02-08 19:36:00+00
12112,195901,,,156.7,55,,,,,,,,,21.05,-112.156666,,,,1959-01-26 05:06:00+00
11900,195901,195901,10321,80,70,80,70,80,70.1,80,70,33.816666,-121.85,33.816666,-121.85,3658,1959-01-24,04:36:00,1959-01-24 05:01:00+00
11968,195901,195901,10377,100,30,100,30,100,30,100,30,31.691666,-116.783333,31.691666,-116.783333,457,1959-01-15,05:36:00,1959-01-15 06:06:00+00
12109,195901,195901,10490,156.7,80,156.7,80,157,78.9,156.7,80,20.183333,-113.641666,20.183333,-113.641666,3530,1959-01-25,17:00:00,1959-01-25 17:24:00+00
11970,195901,195901,10378,96.7,30,96.7,30,96.8,29.9,96.7,30,32.25,-117.133333,32.25,-117.133333,60,1959-01-15,12:12:00,1959-01-15 12:29:00+00
12044,195901,195901,10445,130,30,130,30,130,30,130,30,26.483333,-113.483333,26.483333,-113.483333,80,1959-01-17,05:06:00,1959-01-17 05:18:00+00
12037,195901,195901,10440,126.7,80,126.7,80,126.7,79.8,126.7,80,25.4,-117.033333,25.4,-117.036666,3749,1959-01-16,04:36:00,1959-01-16 04:46:00+00
11908,195901,195901,10328,83.3,51,83.3,51,83,50.4,83.3,51,33.95,-120.125,33.866666,-120.125,143,1959-01-25,17:42:00,1959-01-25 17:55:00+00
11991,195901,195901,10396,93.3,27,93.3,27,93.4,27.7,93.3,27,32.908333,-117.366666,32.908333,-117.363333,556,1959-01-20,00:48:00,1959-01-20 01:16:00+00
11917,195901,195901,10336,90,50,90,50,90,50,90,50,32.741666,-119.275,32.743333,-119.275,274,1959-01-27,08:18:00,1959-01-27 08:40:00+00
11919,195901,195901,10341,90,37,90,37,90,37.1,90,37,33.175,-118.391666,33.175,-118.391666,1189,1959-01-27,19:12:00,1959-01-27 16:46:00+00
12056,195901,195901,10453,136.7,60,136.7,60,136.7,59.6,136.7,60,24.35,-114.65,24.35,-114.65,3832,1959-01-18,22:00:00,1959-01-18 22:06:00+00
11912,195901,195901,10332,86.7,35,86.7,35,86.7,34.9,86.7,35,33.833333,-118.625,33.833333,-118.625,457,1959-01-26,07:36:00,1959-01-26 07:51:00+00
11899,195901,195901,10320,80,60,80,60,80,60,80,60,34.15,-121.15,34.15,-121.15,2195,1959-01-23,23:54:00,1959-01-24 00:11:00+00
11897,195901,195901,10318,80,52,80,52,80,51.9,80,52,34.416666,-120.583333,34.418333,-120.583333,214,1959-01-23,19:06:00,1959-01-23 19:15:00+00
12088,195901,195901,10476,150,60,150,60,150.1,59.7,150,60,22.016666,-113.2,22.02,-113.2,3649,1959-01-23,02:42:00,1959-01-23 03:01:00+00
12096,195901,195901,10481,150,19,150,19,150.1,19.1,150,19,23.375,-110.683333,23.375,-110.683333,238,1959-01-23,23:42:00,1959-01-23 23:56:00+00
12032,195901,195901,10436,126.7,40,126.7,40,126.7,40.4,126.7,40,26.708333,-114.508333,26.711666,-114.508333,3200,1959-01-15,09:42:00,1959-01-15 10:06:00+00
11996,195901,,,113.3,55,,,,,,,,,28.466666,-116.971666,,,,1959-01-08 13:41:00+00
11915,195901,195901,10334,86.7,55,86.7,55,86.4,54.9,86.7,55,33.208333,-120.033333,33.208333,-120.036666,732,1959-01-26,19:24:00,1959-01-26 20:11:00+00
11898,195901,195901,10319,80,55,80,55,80,55,80,55,34.316666,-120.8,34.316666,-120.8,750,1959-01-23,21:00:00,1959-01-23 21:16:00+00
11916,195901,195901,10335,90,55,90,55,90,55,90,55,32.583333,-119.616666,32.58,-119.613333,1097,1959-01-27,01:36:00,1959-01-27 01:30:00+00
12046,195901,195901,10447,133.3,30,133,30,133.4,30.3,133.3,30,25.891666,-113.15,25.891666,-113.15,210,1959-01-17,11:48:00,1959-01-17 12:01:00+00
11938,195901,195901,10352,110,70,110,70,110.1,70.2,110,70,28.6,-118.3,28.6,-118.3,3658,1959-01-09,03:24:00,1959-01-09 03:41:00+00
11955,195901,195901,10370,103.3,90,103,90,103.1,89.7,103.3,90,29.166666,-120.4,29.166666,-120.4,3658,1959-01-13,08:00:00,1959-01-13 09:11:00+00
11974,195901,195901,10383,96.7,40,96.7,40,97.1,39.8,96.7,40,31.866666,-117.766666,31.866666,-117.766666,692,1959-01-17,01:12:00,1959-01-17 01:06:00+00
11919,195901,195901,10340,90,37,90,37,90,37.1,90,37,33.175,-118.391666,33.175,-118.391666,1189,1959-01-27,18:18:00,1959-01-27 16:46:00+00
11919,195901,195901,10339,90,37,90,37,90,37.1,90,37,33.175,-118.391666,33.175,-118.391666,1189,1959-01-27,17:30:00,1959-01-27 16:46:00+00
11988,195901,195901,10394,93.3,40,93.3,40,93.3,39.6,93.3,40,32.533333,-118.191666,32.533333,-118.191666,1561,1959-01-19,18:06:00,1959-01-19 18:06:00+00
12073,195901,195901,10465,143.3,50,143,50,143.2,50.7,143.3,50,23.516666,-113.383333,23.516666,-113.383333,3347,1959-01-20,22:30:00,1959-01-20 22:51:00+00
12092,195901,195901,10478,150,40,150,40,150.9,41.4,150,40,22.491666,-111.983333,22.708333,-111.986666,3347,1959-01-23,12:48:00,1959-01-23 13:01:00+00
12087,195901,195901,10475,146.7,60,146.7,60,146.9,59,146.7,60,22.6,-113.508333,22.6,-113.511666,3695,1959-01-22,21:54:00,1959-01-22 21:46:00+00
11992,195901,195901,10398,113.3,30,113,30,113.4,29.9,113.3,30,29.375,-115.291666,29.375,-115.291666,55,1959-01-07,23:36:00,1959-01-07 23:39:00+00
11958,195901,195901,10367,103.3,60,103,60,104.7,61.2,103.3,60,29.833333,-118.333333,29.833333,-118.333333,3475,1959-01-12,15:36:00,1959-01-12 15:56:00+00
12079,195901,195901,10470,146.7,20,146.7,20,146.7,19.7,146.7,20,23.933333,-111.066666,23.933333,-111.07,124,1959-01-22,01:24:00,1959-01-22 01:27:00+00
11981,195901,195901,10389,93.3,90,93.3,90,93.7,90,93.3,90,30.783333,-121.55,30.783333,-121.55,,1959-01-18,11:42:00,1959-01-18 12:06:00+00
