id,cast_id,mld_sigma,castnosamples,castbottomsample
562,20-1810SR-MX-291-12:47-09001000,25.6,16,271
563,20-1810SR-MX-292-01:36-09000800,27.8,16,270
564,20-1810SR-MX-292-08:00-09000700,20.2,16,271
565,20-1810SR-MX-292-14:19-09000600,21.1,16,270
566,20-1810SR-MX-293-00:55-09000450,20.1,16,270
567,20-1810SR-MX-293-06:33-09000370,10.3,16,270
568,20-1810SR-MX-293-09:37-09000350,10.3,16,270
569,20-1810SR-MX-293-13:38-09000300,11.2,16,270
570,20-1810SR-MX-293-18:39-09000277,17,4,17
571,20-1810SR-MX-293-21:05-08850301,10.3,4,15
572,20-1810SR-MX-294-00:53-08680325,10.3,5,19
573,20-1810SR-MX-294-01:46-08670330,10.4,7,50
574,20-1810SR-MX-294-03:57-08670350,10.4,16,271
575,20-1810SR-MX-294-08:07-08670400,11.2,16,270
576,20-1810SR-MX-294-12:53-08670450,10.3,16,270
577,20-1810SR-MX-294-20:39-08670550,20.8,16,270
578,20-1810SR-MX-295-00:50-08670600,25.3,16,270
579,20-1810SR-MX-295-07:07-08670700,11.8,16,270
580,20-1810SR-MX-295-13:37-08670800,25.9,15,270
581,20-1810SR-MX-296-01:26-08671000,50.1,16,270
582,20-1810SR-MX-296-07:07-08671100,40.3,16,270
583,20-1810SR-MX-296-12:52-08331100,50.2,16,270
584,20-1810SR-MX-297-00:51-08330900,50.2,16,270
585,20-1810SR-MX-297-06:50-08330800,31.6,16,271
586,20-1810SR-MX-297-12:51-08330700,31.6,16,270
587,20-1810SR-MX-297-23:48-08330550,21.1,16,270
588,20-1810SR-MX-298-03:41-08330510,10.6,10,90
589,20-1810SR-MX-298-09:37-08000550,20.5,17,270
590,20-1810SR-MX-298-20:26-08000700,25.4,16,270
591,20-1810SR-MX-299-02:51-08000800,21.6,16,270
592,20-1810SR-MX-299-09:12-08000900,14.1,16,270
593,20-1810SR-MX-299-21:32-07671000,37.1,16,271
594,20-1810SR-MX-300-03:25-07670900,15.3,16,271
595,20-1810SR-MX-300-09:15-07670800,40.5,16,270
596,20-1810SR-MX-300-20:59-07670600,30.4,16,272
597,20-1810SR-MX-301-01:02-07670550,12.7,16,270
598,20-1810SR-MX-301-04:46-07670510,18.4,15,230
599,20-1810SR-MX-301-07:22-07670490,11.3,8,61
600,20-1810SR-MX-301-12:59-08000510,10.3,9,70
601,20-1810SR-MX-301-14:40-08000505,10.8,4,15
602,20-1810SR-MX-301-22:00-08170435,10.7,5,17
603,20-1810SR-MX-302-00:45-08330394,11.8,4,15
604,20-1810SR-MX-302-01:38-08330406,10.6,5,25
605,20-1810SR-MX-302-03:21-08330420,11.9,11,125
606,20-1810SR-PR-287-18:28-09330267,11,8,58
607,20-1810SR-PR-288-17:28-09330450,16.3,18,271
608,20-1810SR-PR-289-18:23-09330800,22.6,19,272
609,20-1810SR-PR-290-18:10-09331200,31.1,18,270
610,20-1810SR-PR-291-19:05-09000900,23.4,17,270
611,20-1810SR-PR-292-19:30-09000530,20.5,18,270
612,20-1810SR-PR-293-16:39-09000280,10.6,10,59
613,20-1810SR-PR-294-17:50-08670500,16.1,10,67
614,20-1810SR-PR-295-19:43-08670900,36,19,269
615,20-1810SR-PR-296-18:44-08331000,45.4,19,271
616,20-1810SR-PR-297-19:15-08330600,29.5,17,270
617,20-1810SR-PR-298-15:36-08000600,28.7,18,270
618,20-1810SR-PR-299-16:24-08001000,53.7,18,271
619,20-1810SR-PR-300-16:05-07670700,31.4,18,271
620,20-1810SR-PR-301-18:15-08180469,14.4,17,232
1,20-1701RL-MX-006-02:18-09330267,18.6,6,55
2,20-1701RL-MX-006-03:52-09340264,14.7,5,25
3,20-1701RL-MX-006-06:22-09170264,11.8,5,25
4,20-1701RL-MX-006-08:58-09330280,21.3,16,270
5,20-1701RL-MX-006-11:38-09330300,21.6,16,270
6,20-1701RL-MX-006-15:16-09330350,23,16,270
7,20-1701RL-MX-006-23:00-09330450,33.7,16,270
8,20-1701RL-MX-007-02:33-09330500,16.4,16,270
9,20-1701RL-MX-007-06:09-09330550,15.6,16,270
10,20-1701RL-MX-007-09:52-09330600,14.4,16,270
11,20-1701RL-MX-007-21:36-09330800,12.9,16,270
12,20-1701RL-MX-008-03:25-09330900,16.5,16,271
13,20-1701RL-MX-008-08:57-09331000,19.3,16,270
14,20-1701RL-MX-009-01:11-09331200,43.2,16,271
15,20-1701RL-MX-009-06:08-09001200,80,16,271
16,20-1701RL-MX-009-11:53-09001100,42.4,16,270
17,20-1701RL-MX-009-23:34-09000900,14.2,16,270
18,20-1701RL-MX-010-05:23-09000800,13.7,16,271
19,20-1701RL-MX-010-10:58-09000700,12.6,16,270
20,20-1701RL-MX-010-21:47-09000530,12.3,16,270
21,20-1701RL-MX-011-03:10-09000450,11.9,16,270
22,20-1701RL-MX-011-08:33-09000370,17.2,16,271
23,20-1701RL-MX-011-11:43-09000350,12.3,16,271
24,20-1701RL-MX-011-20:35-09000280,14.4,8,55
25,20-1701RL-MX-011-22:20-09000277,11.7,5,25
26,20-1701RL-MX-012-00:59-08850301,10.7,4,15
27,20-1701RL-MX-012-04:36-08680325,10.9,5,20
28,20-1701RL-MX-012-05:19-08670330,11,7,50
29,20-1701RL-MX-012-08:18-08540358,11.5,6,40
30,20-1701RL-MX-012-10:32-08670350,12.1,16,270
31,20-1701RL-MX-012-14:36-08670400,16.6,16,270
32,20-1701RL-MX-013-00:04-08670500,21,8,71
33,20-1701RL-MX-013-03:27-08670550,15.3,16,269
34,20-1701RL-MX-013-07:16-08670600,35.2,16,271
35,20-1701RL-MX-013-13:14-08670700,51.8,16,271
36,20-1701RL-MX-014-00:44-08670900,27.7,16,270
37,20-1701RL-MX-014-06:18-08671000,31.1,16,270
38,20-1701RL-MX-014-12:26-08671100,35.8,16,270
39,20-1701RL-MX-015-00:46-08331000,34.5,16,270
40,20-1701RL-MX-015-06:33-08330900,50.6,16,270
41,20-1701RL-MX-015-12:31-08330800,45.1,16,269
42,20-1701RL-MX-016-00:33-08330600,40.5,16,270
43,20-1701RL-MX-016-04:39-08330550,30.9,16,270
44,20-1701RL-MX-016-08:15-08330510,20.8,10,100
45,20-1701RL-MX-016-14:32-08330420,17.7,10,100
46,20-1701RL-MX-016-16:59-08330394,,3,10
47,20-1701RL-MX-016-20:56-08170435,25,5,25
48,20-1701RL-MX-016-22:58-08180469,21.5,16,270
49,20-1701RL-MX-017-03:24-08000505,20.5,5,25
50,20-1701RL-MX-017-04:07-08000510,20.5,8,64
51,20-1701RL-MX-017-06:49-08000550,31.1,16,270
52,20-1701RL-MX-017-10:49-08000600,24.9,16,271
53,20-1701RL-MX-017-22:34-08000800,17.1,16,270
54,20-1701RL-MX-018-04:16-08000900,14.3,16,269
55,20-1701RL-MX-018-09:56-08001000,44.2,16,270
56,20-1701RL-MX-018-22:07-07670900,61.9,16,270
57,20-1701RL-MX-019-03:40-07670800,25.9,16,271
58,20-1701RL-MX-019-08:47-07670700,51.2,16,271
59,20-1701RL-MX-019-14:56-07670600,31.8,16,269
60,20-1701RL-MX-019-22:59-07670510,25.7,16,243
61,20-1701RL-MX-020-01:38-07670490,17.7,7,50
62,20-1701RL-PR-006-19:05-09330400,27.5,18,270
63,20-1701RL-PR-007-16:45-09330700,20.4,17,271
64,20-1701RL-PR-008-15:36-09331100,29.5,18,270
65,20-1701RL-PR-009-17:48-09001000,35.5,17,270
66,20-1701RL-PR-010-18:18-09000600,15.3,18,270
67,20-1701RL-PR-011-17:01-09000300,25.8,17,270
68,20-1701RL-PR-012-18:51-08670450,13.4,17,270
69,20-1701RL-PR-013-19:08-08670800,28.8,18,271
70,20-1701RL-PR-014-18:51-08331100,35,17,270
71,20-1701RL-PR-015-18:27-08330700,45.2,17,271
72,20-1701RL-PR-016-17:59-08330406,12.4,5,26
73,20-1701RL-PR-017-17:49-08000700,21.5,18,270
74,20-1701RL-PR-018-17:22-07671000,81.3,19,270
75,20-1701RL-PR-019-19:14-07670550,32,17,269
76,20-17045S-MX-088-04:08-09330267,10.3,14,202
77,20-17045S-MX-088-06:26-09340264,10.4,5,30
78,20-17045S-MX-088-09:05-09170264,11,4,20
79,20-17045S-MX-088-11:34-09330280,10.4,16,270
80,20-17045S-MX-088-14:22-09330300,10.6,16,270
81,20-17045S-MX-088-23:41-09330400,22,16,271
82,20-17045S-MX-089-03:38-09330450,15.7,16,269
83,20-17045S-MX-089-07:08-09330500,15,16,270
84,20-17045S-MX-089-10:42-09330550,22.6,16,271
85,20-17045S-MX-089-14:34-09330600,51.3,16,270
86,20-17045S-MX-089-21:18-09330700,45.4,16,271
